,0
140,8623.734375
141,8493.13671875
142,8447.2568359375
143,8447.2568359375
144,8447.2568359375
145,8495.84765625
146,8495.84765625
147,8555.505859375
148,8801.7294921875
149,8737.8779296875
150,8376.0380859375
151,8437.0
152,8565.83203125
153,8468.177734375
154,8468.177734375
155,8751.59375
156,8787.1484375
157,8253.330078125
158,8595.17578125
159,8396.7060546875
160,8357.0966796875
161,8357.0966796875
162,8428.78515625
163,8641.1416015625
164,8496.52734375
165,8566.0126953125
166,8462.3720703125
167,8695.625
168,8333.55078125
169,8438.701171875
170,8438.701171875
171,8438.701171875
172,8573.197265625
173,8457.0546875
174,8648.80859375
175,8565.2275390625
176,8471.3408203125
177,8432.970703125
178,8691.8154296875
179,8275.15625
180,8275.15625
181,8625.4287109375
182,8732.681640625
183,8757.3642578125
184,8470.341796875
185,8607.9833984375
186,8249.234375
187,8489.634765625
188,8281.126953125
189,8569.0859375
190,8569.0859375
191,8650.4931640625
192,8269.07421875
193,8269.07421875
194,8502.248046875
195,8483.546875
196,8483.546875
197,8385.404296875
198,8397.1162109375
199,8397.1162109375
200,8252.1533203125
201,8410.8154296875
202,8616.830078125
203,8236.083984375
204,8236.083984375
205,8633.51171875
206,8465.095703125
207,8390.7587890625
208,8646.6689453125
209,8552.7197265625
210,8390.224609375
211,8642.61328125
212,8696.2431640625
213,8557.2041015625
214,8582.6796875
215,8690.458984375
216,8478.326171875
217,8402.0244140625
218,8473.345703125
219,8580.484375
220,8691.744140625
221,8527.060546875
222,8721.8017578125
223,8591.091796875
224,8464.17578125
225,8511.9521484375
226,8524.736328125
227,8586.341796875
228,8423.7744140625
229,8819.30078125
230,8743.0390625
231,8307.005859375
232,8307.005859375
233,8307.005859375
234,8442.431640625
235,8526.2060546875
236,8530.6640625
237,8619.7900390625
238,8415.4814453125
239,8643.80078125
240,8631.482421875
241,8497.1015625
242,8818.19921875
243,8511.0732421875
244,8207.869140625
245,8207.869140625
246,8335.30078125
247,8627.4384765625
248,8482.2802734375
249,8414.5517578125
250,8579.150390625
251,8531.0966796875
252,8329.9345703125
253,8440.3798828125
254,8584.810546875
255,8584.810546875
256,8479.66796875
257,8669.1748046875
258,8286.50390625
259,8339.1123046875
260,8339.1123046875
261,8405.611328125
262,8418.9736328125
263,8418.9736328125
264,8657.5908203125
265,8462.5234375
266,8462.5234375
267,8461.47265625
268,8725.146484375
269,8595.826171875
270,8479.8671875
271,8616.0341796875
272,8359.046875
273,8544.650390625
274,8334.810546875
275,8644.2421875
276,8483.2587890625
277,8534.22265625
278,8342.5380859375
