,0
353,8533.3984375
354,8406.6630859375
355,8383.69921875
356,8247.029296875
357,8550.2724609375
358,8495.3740234375
359,8496.904296875
360,8305.6640625
361,8365.896484375
362,8501.19921875
363,8642.05078125
364,8631.8251953125
365,8384.830078125
366,8621.41796875
367,8399.427734375
368,8476.12109375
369,8341.3818359375
370,8490.2783203125
371,8219.150390625
372,8229.6357421875
373,8398.3935546875
374,8448.1318359375
375,8514.6982421875
376,8256.8837890625
377,8408.97265625
378,8321.5322265625
379,8237.9765625
380,8536.4404296875
381,8567.361328125
382,8583.3740234375
383,8556.5615234375
384,8415.109375
385,8623.9072265625
386,8563.0615234375
387,8554.478515625
388,8509.390625
389,8086.4580078125
390,8279.8642578125
391,8490.27734375
392,8675.744140625
393,8407.6953125
394,8337.9697265625
395,8562.8134765625
396,8385.216796875
397,8231.490234375
398,8373.0791015625
399,8697.908203125
400,8339.3310546875
401,8580.1962890625
402,8587.4208984375
403,8643.13671875
404,8557.9912109375
405,8599.2431640625
406,8697.41015625
407,8552.5859375
408,8810.2646484375
409,8642.2939453125
410,8423.005859375
411,8313.4150390625
412,8477.9326171875
413,8521.9052734375
414,8358.7802734375
415,8378.1904296875
416,8427.498046875
417,8438.6513671875
418,8402.76953125
419,8313.189453125
420,8292.412109375
421,8501.650390625
422,8559.9853515625
423,8349.189453125
424,8065.31689453125
425,8483.029296875
426,8541.6796875
427,8485.7001953125
428,8220.2275390625
429,8346.537109375
430,8457.130859375
431,8411.3642578125
432,8554.109375
433,8169.16650390625
434,8623.712890625
435,8339.9892578125
436,8502.8984375
437,8661.8271484375
438,8238.5263671875
439,8240.0419921875
440,8321.98046875
441,8580.3720703125
442,8421.671875
443,8404.7529296875
444,8528.158203125
445,8286.12109375
446,8782.6416015625
447,8503.0966796875
448,8251.8974609375
449,8728.125
450,8683.7587890625
451,8249.361328125
452,8406.015625
453,8531.310546875
454,8530.9404296875
455,8724.5791015625
456,8530.32421875
457,8531.658203125
458,8595.53125
459,8575.0107421875
460,8627.4130859375
461,8337.59765625
462,8443.1494140625
463,8673.8681640625
464,8379.9697265625
465,8409.041015625
466,8364.09765625
467,8187.94384765625
468,8610.9501953125
469,8489.5771484375
470,8350.400390625
471,8393.3876953125
472,8586.9189453125
473,8458.779296875
474,8555.6328125
475,8195.0849609375
476,8562.8408203125
477,8472.0263671875
478,8654.0380859375
479,8413.44140625
480,8559.8232421875
481,8375.0751953125
482,8370.9521484375
483,8313.556640625
484,8444.626953125
485,8530.07421875
486,8293.5712890625
487,8494.17578125
488,8467.6689453125
489,8506.42578125
490,8465.859375
491,8590.90234375
492,8228.537109375
493,8686.1552734375
494,8260.1162109375
495,8336.939453125
496,8453.7822265625
497,8399.5673828125
498,8197.7724609375
499,8414.7158203125
500,8590.7470703125
501,8443.39453125
502,8556.1962890625
503,8440.6240234375
504,8494.353515625
505,8394.736328125
506,8142.74365234375
507,8385.236328125
508,8529.8359375
509,8416.765625
510,8308.32421875
511,8435.232421875
512,8409.3935546875
513,8432.111328125
514,8349.482421875
515,8439.37890625
516,8502.298828125
517,8190.193359375
518,8277.7021484375
519,8445.46484375
520,8615.263671875
521,8469.0732421875
522,8309.78515625
523,8412.53125
524,8557.9013671875
525,8348.90234375
526,8264.1484375
527,8458.7880859375
528,8219.4443359375
529,8307.107421875
530,8640.744140625
531,8239.111328125
532,8496.8837890625
533,8323.205078125
534,8637.7919921875
535,8422.412109375
536,8503.9140625
537,8593.671875
538,8192.4453125
539,8744.0595703125
540,8357.265625
541,8350.0732421875
542,8261.9541015625
543,8347.2373046875
544,8458.5302734375
545,8298.3125
546,8550.01953125
547,8312.2890625
548,8480.5439453125
549,8498.0712890625
550,8440.8603515625
551,8419.697265625
552,8429.3037109375
553,8370.3984375
554,8436.6201171875
555,8361.486328125
556,8596.2607421875
557,8156.830078125
558,8723.7568359375
559,8335.2119140625
560,8331.14453125
561,8465.673828125
562,8406.4541015625
563,8288.935546875
564,8756.931640625
565,8642.1318359375
566,8482.634765625
567,8476.8681640625
568,8344.3896484375
569,8597.1806640625
570,8443.875
571,8590.3916015625
572,8165.427734375
573,8570.298828125
574,8244.490234375
575,8584.681640625
576,8281.5615234375
577,8536.8056640625
578,8219.1337890625
579,8371.537109375
580,8644.595703125
581,8442.73828125
582,8641.6123046875
583,8316.2958984375
584,8490.953125
585,8473.8212890625
586,8463.4296875
587,8119.55419921875
588,8338.0751953125
589,8653.048828125
590,8553.5
591,8386.982421875
592,8564.759765625
593,8502.701171875
594,8468.025390625
